"Tên sản phẩm","URL sản phẩm","Hình ảnh sản phẩm","Giá gốc (VNĐ)","Giá hiện tại (VNĐ)","Phần trăm giảm giá","Đơn vị tính"
"Khoai mỡ","https://www.bachhoaxanh.com/cu/khoai-mo-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/233886/bhx/khoai-mo-1kg_202504140944387053.jpg","15600","15600","0","/400g"
"Củ dền","https://www.bachhoaxanh.com/cu/cu-den-400g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/230445/bhx/cu-den-400g_202504140935263695.jpg","14400","14400","0","/300g"
"Tỏi tím Trung Quốc","https://www.bachhoaxanh.com/cu/toi-tim-trung-quoc-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/Products/Images/8785/309135/bhx/thumb-bo-sap-omni-11_202601160934274033.jpg","18000","18000","0","/200g"
"Tỏi cô đơn","https://www.bachhoaxanh.com/cu/toi-co-don-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/2/image/Products/Images/8785/309138/bhx/thumb-km-4_202602031423010792.jpg","25000","25000","0","/200g"
"Ớt hiểm","https://www.bachhoaxanh.com/cu/ot-hiem-trai-goi-50g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/271666/bhx/ot-hiem-trai-goi-50g_202508071527528081.jpg","5500","5500","0","/50g"
"Combo tiết kiệm (Dưa leo 1kg + Rau muống hạt 400g)","https://www.bachhoaxanh.com/cu/dua-leo-1kg-rau-muong-hat-400g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8785/362036/dua-leo-1kg-rau-muong-hat-400g_202601151510570272.jpg","41900","24000","43",""
"Combo tiết kiệm (Dưa leo 1kg + Rau mồng tơi 400g)","https://www.bachhoaxanh.com/cu/dua-leo-1kg-mong-toi-400g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8785/362034/dua-leo-1kg-mong-toi-400g_202601151451406996.jpg","41900","24000","43",""
"Combo tiết kiệm (Dưa leo 1kg + Cải thìa 300g)","https://www.bachhoaxanh.com/cu/dua-leo-1kg-cai-thia-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8785/362030/dua-leo-1kg-cai-thia-300g_202601151425350408.jpg","41900","24000","43",""
"Combo tiết kiệm (Dưa leo 1kg + Cải ngọt 400g)","https://www.bachhoaxanh.com/cu/dua-leo-1kg-cai-ngot-400g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8785/362029/dua-leo-1kg-cai-ngot-400g_202601151414418162.jpg","41900","24000","43",""
"Combo tiết kiệm (Dưa leo 1kg + Cải ngồng 400g)","https://www.bachhoaxanh.com/cu/dua-leo-1kg-cai-ngong-400g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8785/362027/dua-leo-1kg-cai-ngong-400g_202601151356204647.jpg","41900","24000","43",""
"Combo tiết kiệm (Dưa leo 1kg + Cải bẹ xanh 400g)","https://www.bachhoaxanh.com/cu/dua-leo-1kg-cai-be-xanh-400g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8785/362018/dua-leo-1kg-cai-be-xanh-400g_202601151056596420.jpg","41900","24000","43",""
"Combo tiết kiệm (Dưa leo 1kg + Cải bẹ dún)","https://www.bachhoaxanh.com/cu/dua-leo-1kg-cai-be-dun","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8785/362016/dua-leo-1kg-cai-be-dun_202601151023575130.jpg","41900","23500","44",""
"Dưa leo baby","https://www.bachhoaxanh.com/cu/dua-leo-baby-vi-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2025/12/image/production/2025/12/image/Products/8785/361481/dua-leo-baby-vi-500g_202512311027149572.jpg","15000","15000","0","/500g"
"Cà tím","https://www.bachhoaxanh.com/cu/ca-tim-2-trai","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/359619/bhx/ca-tim-2-trai_202511241334262214.jpg","14500","14500","0","/2 trái"
"Củ dền","https://www.bachhoaxanh.com/cu/cu-den-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/357892/bhx/cu-den-200g_202510141052120094.jpg","9600","9600","0","/200g"
"Su su","https://www.bachhoaxanh.com/cu/su-su-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/357886/bhx/su-su-200g_202510141006430904.jpg","4400","4400","0","/200g"
"Khoai mỡ","https://www.bachhoaxanh.com/cu/khoai-mo-700g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/357866/bhx/khoai-mo-700g_202510131345525966.jpg","27300","27300","0","/700g"
"Khoai tây (từ 1 - 2 củ)","https://www.bachhoaxanh.com/cu/khoai-tay-200g-tu-1-2-cu","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/344737/bhx/khoai-tay-200g-tu-1-2-cu_202509091404374184.jpg","6000","6000","0","/200g"
"Cà chua","https://www.bachhoaxanh.com/cu/ca-chua-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/343139/bhx/ca-chua-300g_202508291412010487.jpg","9000","9000","0","/300g"
